id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
865667,feature,2018-03-29 02:27:04 UTC,2021-07-13 01:57:14 UTC,Possibilidade de cancelar uma assinatura pelo admin da campanha,"",Icebox,,865710,Ajudar meus assinantes a gerenciar seus apoios,Thiago Maia,"",,,,,5,3,1,20,1,40,,,1,60,,
865668,feature,2018-03-29 02:27:44 UTC,2021-07-13 01:57:14 UTC,Possibilidade de iniciar uma assinatura para uma pessoa,"",Icebox,,865710,Ajudar meus assinantes a gerenciar seus apoios,Thiago Maia,"",,,,,10,2,1,20,,,,,1,40,,
865669,feature,2018-03-29 02:28:11 UTC,2021-07-13 01:57:14 UTC,Possibilidade de alterar dados do assinante pelo admin da campanha,"",Icebox,,865710,Ajudar meus assinantes a gerenciar seus apoios,Thiago Maia,"",,,,,8,4,1,20,1,40,,,1,40,,
865670,feature,2018-03-29 02:28:43 UTC,2021-08-05 07:46:28 UTC,Alterar data de vencimento de assinatura,"",Icebox,(Default Release Group) 2020,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,5,7,2,80,1,40,,,2,60,,
865674,feature,2018-03-29 02:39:18 UTC,2021-08-05 07:46:28 UTC,Apoiar com menos de R$5,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,20,2,1,,1,80,,,1,60,,
865676,feature,2018-03-29 02:41:03 UTC,2019-06-27 11:00:30 UTC,Material explicando sobre Recompensas e Metas ao longo do tempo,"",Icebox,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,7,4,,,1,20,,,1,60,,
865678,feature,2018-03-29 02:42:26 UTC,2021-08-05 07:45:15 UTC,Realizar saque parcial do saldo,"",Icebox,,8924893,Receber o dinheiro de minha campanha de assinaturas,Thiago Maia,"",,,,,10,1,1,20,1,40,,,1,40,,
865679,feature,2018-03-29 02:44:11 UTC,2021-08-05 07:44:57 UTC,Realizador receber email com novo assinante,"Como realizador de assinaturas, quero receber um email toda vez que um novo assinante entrar no meu projeto.",Backlog,(Default Release Group) 2020,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,3,10,,,1,60,,,2,80,,
865680,feature,2018-03-29 02:44:53 UTC,2019-06-26 09:32:11 UTC,Trazer as novidades de projetos para a primeira dobra do projeto de assinaturas,"",Icebox,,2421471,Novidades (posts),Thiago Maia,"",,,,,3,15,,,1,60,,,3,80,,
865682,feature,2018-03-29 02:45:54 UTC,2018-12-17 23:00:04 UTC,Ter gráfico de visitas em assinaturas dos últimos 30 dias,"Como realizador, para saber a quantidade de visitas a minha página de Assinaturas, por DIA, quero ter acesso a um gráfico com visitantes no painel de controle somente dos últimos 30 dias.

http://catarse-assinaturas.webflow.io/dashboard/online/insights-v0",Done,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,2,6,,,2,60,,,,,,
865684,feature,2018-03-29 02:46:10 UTC,2021-08-05 07:44:57 UTC,Relatório de origem de apoios em assinaturas,"",Icebox,(Default Release Group) 2020,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,5,5,1,20,1,60,,,2,80,,
865698,feature,2018-03-29 03:15:49 UTC,2021-08-05 07:46:18 UTC,Salvar cartão de crédito no fluxo de pagamento de projetos de Assinaturas,"",Icebox,(Default Release Group) 2020,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,13,2,,,2,80,2,60,3,80,,
